Source,Period,Validation rule,Importance,Left side description,Value,Operator,Value,Right side description
Joyah MCHP,September 2020,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Dispensed (D)",300.0,<=,0.0,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag - Opening Balance (A) + LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Received (B) + LMIS_EM&CONS Compound Sodium (Ringer's) La"
Joyah MCHP,September 2020,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D)",100.0,<=,0.0,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab - Opening Balance (A) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg"
Joyah MCHP,September 2020,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D)",100.0,<=,0.0,"LMIS_EM&CONS Metronidazole 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Metronidazole 250mg, Tab - Losses / Adjustments (C)"
Joyah MCHP,September 2020,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D)",400.0,<=,0.0,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab - Opening Balance (A) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazol"
Joyah MCHP,September 2020,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Dispensed (D)",20.0,<=,0.0,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Opening Balance (A) + LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Received (B) + LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Losses / Adjustments (C)"
Joyah MCHP,September 2020,"LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab  - Quantity Dispensed (D)",300.0,<=,0.0,"LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab - Opening Balance (A) + LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab  - Quantity Received (B) + LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab - Losses / Adjustments (C)"
Joyah MCHP,September 2020,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Dispensed (D)",80.0,<=,0.0,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet - Opening Balance (A) + LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Received (B) + LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet - Losses / Adjustments (C)"
Juma MCHP,September 2020,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Opening Balance (A) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Received (B) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Losses / Adjustments (C)"
Juma MCHP,September 2020,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D)",20.0,<=,0.0,"LMIS_EM&CONS Metronidazole 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Metronidazole 250mg, Tab - Losses / Adjustments (C)"
Juma MCHP,September 2020,"LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Essential Med and Cons  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Essential Med and Cons  - Quantity Dispensed (D)",20.0,<=,0.0,"LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Essential Med and Cons - Opening Balance (A) + LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Essential Med and Cons  - Quantity Received (B) + LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Es"
Juma MCHP,September 2020,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Dispensed (D)",200.0,<=,98.0,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Opening Balance (A) + LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Received (B) + LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Losses"
Juma MCHP,September 2020,"LMIS_EM&CONS Albendazole 400mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Albendazole 400mg, Tab  - Quantity Dispensed (D)",22.0,<=,0.0,"LMIS_EM&CONS Albendazole 400mg, Tab - Opening Balance (A) + LMIS_EM&CONS Albendazole 400mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Albendazole 400mg, Tab - Losses / Adjustments (C)"
Juma MCHP,September 2020,"LMIS_EM&CONS Folic Acid 5mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Folic Acid 5mg, Tab  - Quantity Dispensed (D)",98.0,<=,0.0,"LMIS_EM&CONS Folic Acid 5mg, Tab - Opening Balance (A) + LMIS_EM&CONS Folic Acid 5mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Folic Acid 5mg, Tab - Losses / Adjustments (C)"
Kabaima MCHP,September 2020,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D)",427.0,<=,0.0,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab - Opening Balance (A) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg"
Kabaima MCHP,September 2020,"LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab  - Quantity Dispensed (D)",380.0,<=,0.0,"LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab - Opening Balance (A) + LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab  - Quantity Received (B) + LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab - Losses / Adjustments (C)"
Kangahun CHC,September 2020,"LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine - Quantity Dispensed (D)  Validation",Medium,"LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine  - Quantity Dispensed (D)",201.0,<=,0.0,"LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine - Opening Balance (A) + LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine  - Quantity Received (B) + LMIS_HIV/AIDS HIV 1 & 2 Rapid Test Kit, Determine - Losses / Adjustments (C)"
Kawaya CHP,September 2020,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D)",7.0,<=,0.0,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Opening Balance (A) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Received (B) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Losses / Adjustments (C)"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab  - Quantity Dispensed (D)",50.0,<=,0.0,"LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab - Opening Balance (A) + LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab  - Quantity Received (B) + LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab - Losses / Adjustments (C)"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D)",2.0,<=,0.0,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Opening Balance (A) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Received (B) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Losses / Adjustments (C)"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Dispensed (D)",300.0,<=,0.0,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab - Opening Balance (A) + LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab - Losses / Adjustments (C)"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D)",50.0,<=,0.0,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab - Opening Balance (A) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D)",200.0,<=,0.0,"LMIS_EM&CONS Metronidazole 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Metronidazole 250mg, Tab - Losses / Adjustments (C)"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Essential Med and Cons  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Essential Med and Cons  - Quantity Dispensed (D)",20.0,<=,0.0,"LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Essential Med and Cons - Opening Balance (A) + LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Essential Med and Cons  - Quantity Received (B) + LMIS_EM&CONS Water for Injection 5ml, Inj, Amp Most Es"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Dispensed (D)",100.0,<=,0.0,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Opening Balance (A) + LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Received (B) + LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Losses"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_EM&CONS Methyldopa 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Methyldopa 250mg, Tab - Losses / Adjustments (C)"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab  - Quantity Dispensed (D)",500.0,<=,0.0,"LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab - Opening Balance (A) + LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab  - Quantity Received (B) + LMIS_EM&CONS Amoxicillin 250mg, Dispersible, Tab - Losses / Adjustments (C)"
Kenema Gbandoma MCHP,September 2020,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Dispensed (D)",100.0,<=,0.0,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet - Opening Balance (A) + LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Received (B) + LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet - Losses / Adjustments (C)"
Komende (Kaiyamba) MCHP,September 2020,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Dispensed (D)",154.0,<=,0.0,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab - Opening Balance (A) + LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab - Losses / Adjustments (C)"
Komende (Kaiyamba) MCHP,September 2020,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D)",40.0,<=,0.0,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab - Opening Balance (A) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazol"
Komende (Kaiyamba) MCHP,September 2020,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D)",240.0,<=,100.0,"LMIS_EM&CONS Methyldopa 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Methyldopa 250mg, Tab - Losses / Adjustments (C)"
Konda CHP,September 2020,"LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab  - Quantity Dispensed (D)",200.0,<=,0.0,"LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab - Opening Balance (A) + LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab  - Quantity Received (B) + LMIS_EM&CONS Zinc Sulphate 20mg, Dispersible, Tab - Losses / Adjustments (C)"
Konda CHP,September 2020,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Dispensed (D)",700.0,<=,0.0,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab - Opening Balance (A) + LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab - Losses / Adjustments (C)"
Konda CHP,September 2020,"LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs  - Quantity Dispensed (D)",200.0,<=,0.0,"LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs - Opening Balance (A) + LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs  - Quantity Received (B) + LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, P"
Konda CHP,September 2020,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D)",600.0,<=,0.0,"LMIS_EM&CONS Metronidazole 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Metronidazole 250mg, Tab - Losses / Adjustments (C)"
Konda CHP,September 2020,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D)",500.0,<=,0.0,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab - Opening Balance (A) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazol"
Konda CHP,September 2020,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Dispensed (D)",500.0,<=,0.0,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Opening Balance (A) + LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Received (B) + LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Losses"
Konda CHP,September 2020,"LMIS_EM&CONS Sodium Chloride (Normal Saline) 0.9%, IV Inj, 500ml, Bot  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Sodium Chloride (Normal Saline) 0.9%, IV Inj, 500ml, Bot  - Quantity Dispensed (D)",11.0,<=,0.0,"LMIS_EM&CONS Sodium Chloride (Normal Saline) 0.9%, IV Inj, 500ml, Bot - Opening Balance (A) + LMIS_EM&CONS Sodium Chloride (Normal Saline) 0.9%, IV Inj, 500ml, Bot  - Quantity Received (B) + LMIS_EM&CONS Sodium Chloride (Normal Saline) 0.9%, IV Inj, 500ml"
Konda CHP,September 2020,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Dispensed (D)",38.0,<=,0.0,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Opening Balance (A) + LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Received (B) + LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Losses / Adjustments (C)"
Konda CHP,September 2020,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Dispensed (D)",70.0,<=,0.0,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet - Opening Balance (A) + LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Received (B) + LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet - Losses / Adjustments (C)"
Konda CHP,September 2020,"LMIS_EM&CONS Povidone Iodine 10%, Solution, Bot  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Povidone Iodine 10%, Solution, Bot  - Quantity Dispensed (D)",2.0,<=,0.0,"LMIS_EM&CONS Povidone Iodine 10%, Solution, Bot - Opening Balance (A) + LMIS_EM&CONS Povidone Iodine 10%, Solution, Bot  - Quantity Received (B) + LMIS_EM&CONS Povidone Iodine 10%, Solution, Bot - Losses / Adjustments (C)"
Konda CHP,September 2020,LMIS_MAL Malaria Rapid Diagnostic Test Kit - Quantity Dispensed (D) Validation,Medium,LMIS_MAL Malaria Rapid Diagnostic Test Kit - Quantity Dispensed (D),150.0,<=,17.0,LMIS_MAL Malaria Rapid Diagnostic Test Kit - Opening Balance (A) + LMIS_MAL Malaria Rapid Diagnostic Test Kit - Quantity Received (B) + LMIS_MAL Malaria Rapid Diagnostic Test Kit - Losses / Adjustments (C)
Korgbotuma MCHP,September 2020,"LMIS_EM&CONS Glove, Surgical, Size 7.5, Sterile, Disposable, Pair  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Glove, Surgical, Size 7.5, Sterile, Disposable, Pair  - Quantity Dispensed (D)",100.0,<=,0.0,"LMIS_EM&CONS Glove, Surgical, Size 7.5, Sterile, Disposable, Pair - Opening Balance (A) + LMIS_EM&CONS Glove, Surgical, Size 7.5, Sterile, Disposable, Pair  - Quantity Received (B) + LMIS_EM&CONS Glove, Surgical, Size 7.5, Sterile, Disposable, Pair - Loss"
Korgbotuma MCHP,September 2020,"LMIS_REP_H Ethinylestradiol & Levonorgestrel (Microgynon 30) 30mcg & 150mcg, Tab, Cycle - Quantity Dispensed (D) Validation",Medium,"LMIS_REP_H Ethinylestradiol & Levonorgestrel (Microgynon 30) 30mcg & 150mcg, Tab, Cycle - Quantity Dispensed (D)",12.0,<=,0.0,"LMIS_REP_H Ethinylestradiol & Levonorgestrel (Microgynon 30) 30mcg & 150mcg, Tab, Cycle - Opening Balance (A) + LMIS_REP_H Ethinylestradiol & Levonorgestrel (Microgynon 30) 30mcg & 150mcg, Tab, Cycle - Quantity Received (B) + LMIS_REP_H Ethinylestradiol &"
Korgbotuma MCHP,September 2020,"LMIS_REP_H Medroxyprogesterone Acetate (Sayana Press), 104mg/0.65ml, Inj - Quantity Dispensed (D) Validation",Medium,"LMIS_REP_H Medroxyprogesterone Acetate (Sayana Press), 104mg/0.65ml, Inj - Quantity Dispensed (D)",6.0,<=,0.0,"LMIS_REP_H Medroxyprogesterone Acetate (Sayana Press), 104mg/0.65ml, Inj - Opening Balance (A) + LMIS_REP_H Medroxyprogesterone Acetate (Sayana Press), 104mg/0.65ml, Inj - Quantity Received (B) + LMIS_REP_H Medroxyprogesterone Acetate (Sayana Press), 104m"
Korgbotuma MCHP,September 2020,"LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs  - Quantity Dispensed (D)",100.0,<=,0.0,"LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs - Opening Balance (A) + LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs  - Quantity Received (B) + LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, P"
Korgbotuma MCHP,September 2020,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D)",180.0,<=,0.0,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab - Opening Balance (A) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazol"
Korgbotuma MCHP,September 2020,"LMIS_EM&CONS Ibuprofen 400mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ibuprofen 400mg, Tab  - Quantity Dispensed (D)",260.0,<=,18.0,"LMIS_EM&CONS Ibuprofen 400mg, Tab - Opening Balance (A) + LMIS_EM&CONS Ibuprofen 400mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Ibuprofen 400mg, Tab - Losses / Adjustments (C)"
Korgbotuma MCHP,September 2020,LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Quantity Dispensed (D) Validation,Medium,LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Quantity Dispensed (D),2.0,<=,0.0,LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Opening Balance (A) + LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Quantity Received (B) + LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Losses / Adjustments (C
Korgbotuma MCHP,September 2020,"LMIS_EM&CONS Glove, Gynecological, Elbow, Size 7.5, Pcs  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Glove, Gynecological, Elbow, Size 7.5, Pcs  - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_EM&CONS Glove, Gynecological, Elbow, Size 7.5, Pcs - Opening Balance (A) + LMIS_EM&CONS Glove, Gynecological, Elbow, Size 7.5, Pcs  - Quantity Received (B) + LMIS_EM&CONS Glove, Gynecological, Elbow, Size 7.5, Pcs - Losses / Adjustments (C)"
Levuma Nyomeh CHP,September 2020,"LMIS_REP_H Condom, Female - Quantity Dispensed (D) Validation",Medium,"LMIS_REP_H Condom, Female - Quantity Dispensed (D)",360.0,<=,0.0,"LMIS_REP_H Condom, Female - Opening Balance (A) + LMIS_REP_H Condom, Female - Quantity Received (B) + LMIS_REP_H Condom, Female - Losses / Adjustments (C)"
